,tweets
99,"RT @Endriyw: Jeritan hati korban investasi yusuf mansur.

Lengkapnya nnton disini
https://t.co/4XBQ04QkmB https://t.co/FI16Hao6wy"
100,"RT @Endriyw: Jeritan hati korban investasi yusuf mansur.

Lengkapnya nnton disini
https://t.co/4XBQ04QkmB https://t.co/FI16Hao6wy"
101,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
102,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
103,RT @bola_abis: 😱😱 | Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) menemukan aliran dana investasi bodong robot trading mengalir k…
104,"@idikms @mazzini_gsp Bila sedang galau, kelimpungan/ kelojotan akibat gugatan hukum, hingga tak mampu menahan emosi yg memuncak dgn gebrak2 meja, mana mungkin dpt menerima masukan/nasehat atau ceramah dari org lain.
https://t.co/BbGU3zgYuh https://t.co/JH7iN3hUjS"
105,"RT @PartaiSocmed: Iya, karena kami mengajari investasi bukan spekulasi apalagi judi di future. Main spot yg minim resiko saja untungnya ged…"
106,"@Anooonyme2 @JawaraSantuy @ferdianto_ary @jey_jailbreaker @bejoaja93664427 @NKRIHAR82459132 @Iteungik @ImamMursyalin @sapporo_jack @buzzerbalaiKNTL @ImanTangankanan @Bentir16 @GHrp20 @warnadi08 @sakitotak3 @ahista_perdana @MahbubGhani @Frans_Priyo @bknMuslimEgois1 @ediasmawan @asmujivahn @sofiankawar1 @Prajakelana2 @Dipakelana1 @Wirakelana14 @AsliLucuBanget @BDarmaTriH @Daud19761 @ArSunantoaris @YatiBibi @YudiSet16452924 @qwelijk @Letkol_Mukidi @El70004 @sastro0001 @antonah61851221 @devanavedraza @H4l1mun_D1n61n @DiptraD @Yonesman2 @anticebong2021 @JunizarT @Ladede3 @BoniCekrik @Anugrh_Prtm3 @Crespo04946885 @2H80457169 @Didi_BMS @ekoguruoke "" Bangsa lg Sial ""
"" Lg Di Mainin Boneka Dari Para HIPNOTIS
Investasi BODONG BANGSAT laknat ""
Para Penggerogot Halus Rkyt "" https://t.co/j9dN2kBjha"
107,RT @MAJALAH_GATRA: Pebisnis sekaligus penceramah Yusuf Mansur akhirnya digugat para korban investasi macetnya ke pengadilan. Pihak yang dir…
108,RT @MAJALAH_GATRA: Pebisnis sekaligus penceramah Yusuf Mansur akhirnya digugat para korban investasi macetnya ke pengadilan. Pihak yang dir…
109,"RT @SumitroYoel: Ketamakan dalam investasi bodong. Oktober tahun lalu, di hari gw ulang tahun, gw kehilangan 78jtan di sebuah investasi bod…"
110,"Serem bgt dampak psikologis dari berurusan dgn investasi bodong. Yg lebih seremnya lagi, orang-orang ga ada yang peduli. Orang segitu stressnya, histeris,  marah, sampe nangis on cam, malah diketawain dan dijadiin bulan-bulanan online. Padahal katanya aware dgn kesehatan mental."
111,@sallyxiaov @sanawibu @IniMaungsaurus @dubuunique @tinybongs @pangseat @chewyrav @ehewkwk @ngecimol @twizzyracha @KnowMeisNaomi @nayaflys @bucinsanawinter lah anying loona masuk investasi sm ent 😭😭😭😭
112,"@lps_idic Tren investasi pada aset mata uang digital (cryptocurrency) hingga kini masih naik daun. Walaupun gerak kripto terbilang memiliki volatilitas tinggi, tapi kripto digadang-gadang menjadi instrumen investasi masa depan."
